id,reputationIdx,repRaceMask_1,repRaceMask_2,repRaceMask_3,repRaceMask_4,repClassMask_1,repClassMask_2,repClassMask_3,repClassMask_4,repBase_1,repBase_2,repBase_3,repBase_4,repFlags_1,repFlags_2,repFlags_3,repFlags_4,parentFactionId,name_enUS,name_koKR,name_frFR,name_deDE,name_zhCN,name_ruRU,name_esES,name_ptPT,nameMask,description_enUS,description_koKR,description_frFR,description_deDE,description_zhCN,description_ruRU,description_esES,description_ptPT,descriptionMask
15,-1,589,434,0,0,0,0,0,0,-6500,-42000,0,0,0,0,0,0,0,Defias Brotherhood,,,Bruderschaft der Defias,迪菲亚兄弟会,Братство Справедливости,Hermandad Defias,Irmandade Défias,4128894,The Defias Brotherhood is a criminal organization seeking to tear down the Stormwind ruling class and establish a new society through revolution. The Defias are not beyond working with dangerous beings to achieve their goals.,,,"Die Bruderschaft der Defias ist eine verbrecherische Organisation, die den Adel von Sturmwind stürzen und durch eine Revolution eine neue Ordnung errichten will. Um ihre Ziele zu erreichen, schreckt sie nicht davor zurück, mit gefährlichen Wesen zu paktieren.",迪菲亚兄弟会是一个犯罪组织，旨在通过革命推翻暴风城的统治阶级，并建立一个新的社会秩序。迪菲亚兄弟会为了实现自己的目标，不惜与危险的存在合作。,"Братство Справедливости — преступная организация, стремящаяся свергнуть правящий класс Штормграда и построить новое общество через революцию. Они не гнушаются сотрудничеством с опасными силами ради достижения своей цели.",La Hermandad Defias es una organización criminal que busca derribar a la clase gobernante de Ventormenta y establecer una nueva sociedad a través de la revolución. Los Defias no dudan en trabajar con seres peligrosos para lograr sus objetivos.,A Irmandade Défias é uma organização criminosa que busca derrubar a classe dominante de Ventobravo e estabelecer uma nova sociedade por meio de uma revolução. Os Défias não hesitam em se aliar com seres perigosos para alcançar seus objetivos.,4128876
16,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Riverpaw Gnolls,,,Flusspfoten Gnolle,河爪豺狼人,Гноллы из стаи Речной Лапы,Gnolls Zarparrío,Gnolls Pata Molhada,4128894,,,,,,,,,4128876
17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnoll - Redridge,,,Gnoll - Rotkamm,赤脊山豺狼人,Гнолл Красногорья,Gnoll: Crestagrana,Gnoll - Cristarrubra,4128894,,,,,,,,,4128876
18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnoll - Shadowhide,,,Gnoll - Schattenfell,暗皮豺狼人,Гнолл из стаи Темношкуров,Gnoll: Pielsombra,Gnoll - Umbrapele,4128894,,,,,,,,,4128876
19,-1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Murloc,,,Murloc,鱼人,Мурлок,Múrloc,Murloc,8323198,,,,,,,,,4128876
20,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Undead,,,Untoter,亡灵(天灾军团),Нежить,No-muerto,Morto-Vivo,8323198,Undead,,,Untote,亡灵,Нежить,No-Muertos,Mortos-Vivos,4128876
21,1,767,256,0,0,0,0,0,0,500,3500,0,0,0,0,0,0,169,Booty Bay,,,Beutebucht,藏宝海湾,Пиратская Бухта,Bahía del Botín,Angra do Butim,4128894,This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.,,,Diese florierende Küstenstadt wird von Baron Revilgaz von den Schwarzmeerpiraten regiert. Sie ist Teil des Dampfdüsenkartells und Todfeind der Blutsegelbukaniere.,一个由黑水海盗的头目，大财主里维加兹经营的繁荣的海港城市。它也是热砂财团的一部分，主要仇敌是血帆海盗。,"В этом процветающем приморском городе правит Барон Ревилгаз, разбойник Черноводья. Город входит в Картель Хитрой Шестеренки и ведет войну с Кровавым Парусом.",Esta próspera ciudad costera está gobernada por el Barón Revilgaz de los Asaltantes Aguasnegras. Enemigos mortales de los Bucaneros Velasangre y parte del Cártel Bonvapor.,Esta próspera cidade costeira é governada pelo Barão Revilgaz dos Piratas da Aguanegra. Inimigos mortais dos Bucaneiros da Vela Sangrenta e parte do Cartel Bondebico.,4128894
22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Spider,,,Wildtier - Spinne,野兽 - 蜘蛛,Животное: Паук,Bestia: Araña,Fera - Aranha,4128894,,,,,,,,,4128876
23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Boar,,,Wildtier - Eber,野兽 - 野猪,Животное: Кабан,Bestia: Jabalí,Fera - Javali,4128894,,,,,,,,,4128876
24,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Worgen,,,Worgen,狼人,Ворген,Huargen,Worgen,8323198,The Worgen are mysterious beings summoned from another dimension. Their intentions and purpose is unknown.,,,Die Worgen sind geheimnisvolle Wesen aus einer fremden Dimension. Ihre Absichten und ihr Ziel bleiben im Verborgenen.,狼人是从另一个维度召唤而来的神秘存在。它们的意图和目的至今仍然未知。,The Worgen are mysterious beings summoned from another dimension. Their intentions and purpose is unknown.,Los Worgen son seres misteriosos convocados desde otra dimensión. Sus intenciones y propósito son desconocidos.,Os Worgen são seres misteriosos summonados de outra dimensão. Suas intenções e propósito são desconhecidos.,4128876
25,-1,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobold,,,Kobold,狗头人,Кобольд,Kóbold,Kobold,8323198,,,,,,,,,4128876
26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Bloodscalp",,,Troll - Blutskalpe,血顶巨魔,Тролль: Кровавый Скальп,"Trol, Sangrapellejo","Troll, Sanguescalpo",4128894,,,,,,,,,4128876
27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Skullsplitter",,,Troll - Schädelspalter,劈颅巨魔,Тролль: Дробители Черепов,"Trol, Machacacráneos","Troll, Rachacrânio",4128894,,,,,,,,,4128876
28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prey,,,Beute,猎物,Добыча,Presa,Presa,8323198,,,,,,,,,4128876
29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Wolf,,,Wildtier - Wolf,野兽 - 狼,Животное: Волк,Bestia: Lobo,Fera - Lobo,4128894,,,,,,,,,4128876
30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defias Brotherhood Traitor,,,Verräter der Defias,迪菲亚兄弟会叛徒,Предатель Братства Справедливости,Traidor de la Hermandad Defias,Traidor da Irmandade Défias,4128894,,,,,,,,,4128876
31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friendly,,,Freundlich,友方,Дружественный,Amistoso,Amigável,8323198,,,,,,,,,4128876
32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Trogg,,,Trogg,穴居人,Трогг,Trogg,Trogg,8323198,,,,,,,,,4128876
33,-1,589,434,0,0,0,0,0,0,-42000,-6500,0,0,0,0,0,0,0,Frostmane Tribe,,,Frostmähnenstamm,霜鬃部落,Племя Мерзлогривов,Tribu Peloescarcha,Tribo Jubafria,4128894,The Frostmane is a tribe of Ice Trolls making a meager living within Dun Morogh at odds with the Dwarven and Gnomish inhabitants of the region.,,,"Die Frostmähnen sind ein Stamm von Eistrollen, die in Dun Morogh ein karges Leben führen und im ständigen Konflikt mit den Zwergen und Gnomen der Region stehen.",霜鬃部族是一支居住在丹莫罗的冰霜巨魔部族，这些巨魔在与该地区的矮人和侏儒居民之间的冲突中勉强营生。,"Племя Мерзлогривов — это клан Ледяных Троллей, с трудом выживающий в Дун Морогге и находящийся в постоянном конфликте с Дворфами и Гномами, населяющими этот регион.","Los Peloescarcha son una tribu de Trols de Hielo que sobreviven de manera humilde dentro de Dun Morogh, en conflicto con los enanos y gnomos habitantes de la región.","Os Jubafria são uma tribo de Trolls das Neves que levam uma vida modesta em Dun Morogh, em conflito com os anões e gnomos da região.",4128876
34,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orc, Blackrock",,,Orc - Schwarzfels,黑石氏族兽人,Орк: Черная Гора,"Orco, Roca Negra","Orc, Rocha Negra",8323198,,,,,,,,,4128876
35,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villian,,,Bösewicht,恶徒,Злодей,Villano,Vilão,8323198,,,,,,,,,4128876
36,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victim,,,Opfer,牺牲品,Жертва,Víctima,Vítima,8323198,,,,,,,,,4128876
37,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Bear,,,Wildtier - Bär,野兽 - 熊,Животное: Медведь,Bestia: Oso,Fera - Urso,4128894,,,,,,,,,4128876
38,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Ogre,,,Oger,食人魔,Огр,Ogro,Ogro,8323198,,,,,,,,,4128876
39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kurzen's Mercenaries,,,Kurzans Söldner,库尔森的雇佣兵,Наемники Курцена,Mercenarios de Kurzen,Mercenários de Kurzen,8323198,,,,,,,,,4128876
40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Escortee,,,Begleitperson,卫队,Сопровождаемый,Acompañante,Escoltado,8323198,,,,,,,,,4128876
41,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Venture Company,,,Venture Company,风险投资公司,Торговая Компания,Ventura y Cía.,Empreendimentos S.A.,4128894,The Venture Company is a Goblin-run cutthroat organization that seeks to attain profit at any cost. The Venture Company will employ anyone they find useful and treat it's workers fairly in order to gain the greatest profit possible.,,,"Die Venture Company ist eine skrupellose, von Goblins geführte Organisation, die um jeden Preis Profit erzielen will. Sie beschäftigt jeden, den sie für nützlich hält, und behandelt ihre Arbeiter fair – alles im Namen des größtmöglichen Gewinns.",风险投资公司是由地精经营的残忍组织，不惜一切代价追求利润。该公司雇佣任何他们认为有用的人，并平等的对待他们的所有工人，以获得最大的利润。,"Торговая Компания — это управляемая Гоблинами беспощадная организация, стремящаяся получить прибыль любой ценой. Торговая Торговая нанимает всех, кого сочтёт полезным, и обращается со своими рабочими справедливо, чтобы получить наибольшую возможную выгоду.","Ventura y Cía. es una organización dirigida por Goblins, despiadada y que busca obtener ganancias a cualquier costo. La Compañía Ventura empleará a cualquiera que considere útil y tratará a sus trabajadores de manera justa para obtener la mayor ganancia posible.",A Empreendimentos S.A. é uma organização implacável dirigida por Goblins que busca obter lucro a qualquer custo. A Empreendimentos S.A. contrata qualquer um que considerem útil e trata seus trabalhadores de maneira justa para alcançar o maior lucro possível.,4128876
42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Raptor,,,Wildtier - Raptor,野兽 - 迅猛龙,Животное: Ящер,Bestia: Raptor,Fera - Raptor,4128894,,,,,,,,,4128876
43,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basilisk,,,Basilisk,石化蜥蜴,Василиск,Basilisco,Basilisco,4128894,,,,,,,,,4128876
44,-1,589,434,0,0,0,0,0,0,-6500,-42000,0,0,0,0,0,0,0,Trash,,,Abfall,破烂,Мусор,Basura,Lixo,4128894,Ass,,,Gerümpel,毫无价值,Мусор,Basura,Bunda,4128876
45,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Ones,,,Verirrte,失落者,Заблудшие,Los Perdidos,Os Perdidos,8323198,,,,,,,,,4128876
46,-1,1023,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Armorsmithing,,,Schmiedekunst - Rüstungsschmiedekunst,锻造- 护甲锻造,Кузнечное дело: Ковка Доспехов,Herrería - Forjador de Armaduras,Ferraria - Ferreiro de Armaduras,4128894,,,,,,,,,4128876
47,20,585,434,4,0,0,0,0,0,3100,-42000,4000,0,17,2,17,0,469,Ironforge,,,Eisenschmiede,铁炉堡,Стальгорн,Forjaz,Altaforja,4128894,This Alliance capital is the pride of the Dun Morogh dwarves.  Home to King Magni.,,,Diese Hauptstadt der Allianz ist der ganze Stolz der Zwerge von Dun Morogh. Sie ist die Heimat von König Magni.,这座联盟的大都市是丹莫罗矮人们的骄傲，也是麦格尼国王的家。,"Одна из столиц Альянса, населенная Дворфами Дун Морога. Вотчина короля Магни.",Esta capital de la Alianza es el orgullo de los enanos de Dun Morogh. Hogar del Rey Magni.,Esta capital da Aliança é o orgulho dos anões de Dun Morogh. Lar do Rei Magni.,4128894
48,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Dark Iron Dwarves,,,Dunkeleisenzwerge,黑铁矮人,Дворфы Клана Черного Железа,Enanos Hierro Negro,Anões Ferro Negro,4128894,,,,,,,,,4128876
49,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Human, Night Watch",,,Mensch - Nachtwache,暮色森林守夜人,Человек: Ночной Дозор,"Humano, Guardia Nocturna","Humano, Vigília Noturna",8323198,,,,,,,,,4128876
50,-1,589,434,0,0,0,0,0,0,-6500,-42000,0,0,0,0,0,0,0,Rubbish,,,Gerümpel,废物,Мусор,Basura,Sujeira,4128894,Ass,,,Gerümpel,毫无价值,Мусор,Basura,Bunda,4128876
51,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnoll - Mosshide,,,Gnoll - Moosfell,藓皮豺狼人,Гнолл: Мохошкур,Gnoll: Pellejomusgo,Gnoll - Pelemusgo,4128894,,,,,,,,,4128876
52,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orc, Dragonmaw",,,Orc - Drachenmalklan,龙喉氏族兽人,Орк Скверны: Клан Драконьей Пасти,"Orco, Faucedraco","Orc, Presa do Dragão",8323198,,,,,,,,,4128876
53,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnome - Leper,,,Gnom - Lepra,麻疯侏儒,Гном: Зараженный,Gnomo: Paria,Gnomo - Leproso,4128894,,,,,,,,,4128876
54,18,525,434,64,0,0,0,0,0,3100,-42000,4000,0,17,2,17,0,469,Gnomeregan Exiles,,,Exilanten von Gnomeregan,诺莫瑞根流亡者,Изгнанники Гномрегана,Exiliados de Gnomeregan,Exilados de Gnomeregan,4128894,"The former denizens of Gnomeregan, now living in exile within the Gnomeregan Reclamation Facility in Dun Morogh, trying to reclaim their home.",,,"Die einstigen Bewohner von Gnomeregan leben nun im Exil in der Rückgewinnungsstation in Dun Morogh und setzen alles daran, ihre Heimat zurückzuerobern.",诺莫瑞根以前的居民，如今流亡在丹莫罗的诺莫瑞根复兴城中，试图夺回他们的家园。,"Бывшие жители Гномрегана, ныне живущие в изгнании в Центре Рекультивации Гномрегана в Дун Мороге, пытаются вернуть себе свой дом.","Los antiguos habitantes de Gnomeregan, ahora viviendo en el exilio dentro de la instalación de recuperación de Gnomeregan en Dun Morogh, tratando de reclamar su hogar.","Os antigos habitantes de Gnomeregan, agora vivendo em exílio nas Instalações de Recuperação de Gnomeregan em Dun Morogh, tentam recuperar seu lar.",4128894
55,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leopard,,,Leopard,野兽 - 豹,Леопард,Leopardo,Leopardo,8323198,,,,,,,,,4128876
56,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,2,0,0,0,0,Scarlet Crusade,,,Scharlachrote Kreuzfahrer,血色十字军,Алый Орден,Cruzada Escarlata,Cruzada Escarlate,8323198,"The Scarlet Crusade is a religious organization dedicated to the eradication of the undead. They seldom trust outsiders, believing them to carry the Plague of Undeath.",,,"Der Scharlachrote Kreuzzug ist eine religiöse Organisation, die sich der Auslöschung der Untoten verschrieben hat. Sie misstraut Außenstehenden, da sie diese für Träger der Seuche des Untodes hält.",血色十字军是一个宗教组织，致力于根除亡灵。他们很少信任外来者，认为他们携带着亡灵瘟疫。,"Алый Орден — это религиозная организация, посвятившая себя истреблению Нежити. Они редко доверяют чужакам, считая, что те могут быть носителями Чумы Нежити.","La Cruzada Escarlata es una organización religiosa dedicada a la erradicación de los No-Muertos. Rara vez confían en los forasteros, creyendo que llevan consigo la Plaga de la No-Muerte.","A Cruzada Escarlate é uma organização religiosa dedicada à erradicação dos mortos-vivos. Eles raramente confiam em forasteiros, acreditando que eles carregam a Praga da Morte-Viva.",4128876
57,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnoll - Rothide,,,Gnoll - Rotfell,烂皮豺狼人,Гнолл: Гнилошкуры,Gnoll: Putrepellejo,Gnoll - Putricouro,4128894,,,,,,,,,4128876
58,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Gorilla,,,Wildtier - Gorilla,野兽 - 猩猩,Животное: Горилла,Bestia: Gorila,Fera - Gorila,4128894,,,,,,,,,4128876
59,4,1023,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Thorium Brotherhood,,,Thorium-Bruderschaft,瑟银兄弟会,Братство Тория,Hermandad del Torio,Irmandade do Tório,4128894,The dwarves of the Thorium Brotherhood epitomize excellence in craftsmanship and are bent on unlocking the secrets of Blackrock Mountain.,,,"Die Zwerge der Thoriumbruderschaft verkörpern meisterhaftes Handwerk und sind fest entschlossen, die Geheimnisse des Schwarzfels zu lüften.",瑟银兄弟会的矮人有着无与伦比的制造技术，并致力于解开黑石山中的全部秘密。,Дворфы из братства Тория – прославленные мастера и лучшие знатоки тайн Черной Горы.,Los enanos de la Hermandad del Torio representan la excelencia en la artesanía y están empeñados en desvelar los secretos de la Montaña Roca Negra.,Os anões da Irmandade do Tório personificam a excelência em artesanato e estão empenhados em desvendar os segredos da Montanha Rocha Negra.,4128894
60,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Naga,,,Naga,纳迦,Нага,Naga,Naga,4128894,,,,,,,,,4128876
61,60,589,434,0,0,0,0,0,0,3300,-42000,0,0,16,2,0,0,0,Dalaran,,,Dalaran,达拉然,Даларан,Dalaran,Dalaran,4128894,The once mighty magical citystate of Dalaran was destroyed by the Burning Legion. Today its surviving inhabitants struggle to rebuild their home and defend their territories from the Horde and the Scourge.,,,"Die einst mächtige Magierstadt Dalaran wurde von der Brennenden Legion zerstört. Heute kämpfen ihre überlebenden Bewohner darum, ihre Heimat wieder aufzubauen und ihr Territorium gegen die Horde und die Geißel zu verteidigen.",曾经强大的魔法城市达拉然被燃烧军团摧毁。如今，幸存的居民们努力重建他们的家园，并从部落和天灾军团手中保卫自己的领土。,Когда-то могущественный магический город-государство Даларан был разрушен Пылающим Легионом. Сегодня его выжившие обитатели пытаются восстановить свой дом и защитить свои земли от Орды и Плети.,"La poderosa ciudad mágica de Dalaran fue destruida por la Legión Ardiente. Hoy en día, sus habitantes sobrevivientes luchan por reconstruir su hogar y defender sus territorios de la Horda y la Plaga.","A outrora poderosa cidade-estado mágica de Dalaran foi destruída pela Legião Ardente. Hoje, seus habitantes sobreviventes lutam para reconstruir seu lar e defender seus territórios da Horda e do Flagelo.",4128876
62,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forlorn Spirit,,,Verlassener Geist,弃灵,Неприкаянный Дух,Espíritu Melancólico,Espírito Desamparado,8323198,,,,,,,,,4128876
63,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darkhowl,,,Dunkelheuler,暗吼,Мрачный Вой,Aullido Oscuro,Uivonegro,8323198,,,,,,,,,4128876
64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grell,,,Grell,劣魔,Грелль,Grell,Capeta,8323198,,,,,,,,,4128876
65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Furbolg,,,Furbolg,熊怪,Фурболг,Fúrbolg,Pelurso,8323198,,,,,,,,,4128876
66,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horde Affiliates,,,Horde-Angehörige,部落友军,Филиалы Орды,Afiliados de la Horda,Afiliados da Horda,4128894,,,,"Einzelne Wesen, Gruppen und Siedlungen, die mit der Horde verbündet sind.",与部落有关的个人、团队和定居点。,"Отдельные лица, группы и поселения, связанные с Ордой.","Individuos, grupos y asentamientos afiliados a la Horda.","Indivíduos, grupos e assentamentos afiliados à Horda.",4128876
67,12,434,589,0,0,0,0,0,0,3500,-42000,0,0,17,2,0,0,0,Horde,,,Horde,部落,Орда,Horda,Horda,4128894,,,,,,,,,4128876
68,17,418,589,16,0,0,0,0,0,500,-42000,4000,0,17,2,17,0,67,Undercity,,,Unterstadt,幽暗城,Подгород,Enterracielo,Cidade Baixa,4128894,"Led by Sylvanas Windrunner, the Forsaken have joined a tenuous alliance with the Horde and established this capital in the vast depths under the Ruins of Lordaeron.",,,Unter der Führung von Sylvanas Windläuferin haben sich die Verlassenen in ein brüchiges Bündnis mit der Horde begeben und diese Hauptstadt in den Tiefen unter den Ruinen von Lordaeron errichtet.,希尔瓦娜斯·风行者领导下的被遗忘者与部落之间建立起了脆弱的同盟关系，并在洛丹伦废墟的地下深处建立起了这座城市。,"Возглавляемые Сильваной Ветрокрылой, Отрекшиеся вступили в непрочный союз с Ордой и основали эту столицу в бескрайних глубинах под руинами Лордерона.","Dirigidos por Sylvanas Brisaveloz, los Renegados han formado una frágil alianza con la Horda y han establecido esta capital en las vastas profundidades bajo las Ruinas de Lordaeron.","Liderados por Sylvanas Correventos, os Renegados formaram uma frágil aliança com a Horda e estabeleceram sua capital nas vastas profundezas sob as Ruínas de Lordaeron.",4128894
69,21,69,434,8,512,0,0,0,0,3100,-42000,4000,500,17,2,17,17,469,Darnassus,,,Darnassus,达纳苏斯,Дарнас,Darnassus,Darnassus,4128894,"The Alliance capital is populated by Night Elves and is located in the island of Teldrassil.  Ruled by the Priestess of the Moon, Tyrande Whisperwind.",,,Diese Hauptstadt der Allianz auf der Insel Teldrassil ist von Nachtelfen bewohnt und wird von der Mondpriesterin Tyrande Wisperwind regiert.,坐落在泰达希尔岛上的联盟城市，暗夜精灵的首都，由月之女祭司泰兰德·语风统治。,"Одна из столиц Альянса, расположенная на острове Тельдрассил и населенная Ночными Эльфами. Здесь правит Жрица Луны по имени Тиранда Шелест Ветра.","La capital de la Alianza está poblada por Elfos Nocturnos y se encuentra en la isla de Teldrassil. Gobernada por la Sacerdotisa de la Luna, Tyrande Susurravientos.","A capital da Aliança é habitada pelos Elfos Noturnos e está localizada na ilha de Teldrassil. Governada pela Sacerdotisa da Lua, Tyrande Murmuréolo.",4128894
70,6,1023,0,0,0,0,0,0,0,-10000,0,0,0,2,0,0,0,0,Syndicate,,,Syndikat,辛迪加,Синдикат,La Hermandad,Camarilha,8323198,A primarily human criminal organization that operates mostly out of the Alterac Mountains and Hillsbrad Foothills.,,,"Eine hauptsächlich aus Menschen bestehende Verbrecherorganisation, die vor allem in den Alteracbergen und den Vorgebirgen des Hügellands operiert.",一个主要由人类组成的犯罪组织，目前占据着奥特兰克山脉与希尔斯布莱德丘陵的部分地区。,"Преступное сообщество, организованное людьми. Действует почти на всей территории Альтеракских Гор и Предгорий Хилсбрада.",Una organización criminal principalmente humana que opera mayormente desde las Montañas de Alterac y las Laderas de Trabalomas.,Uma organização criminosa primariamente humana que opera principalmente nas Montanhas Alterac e no Contraforte de Eira dos Montes.,4128894
71,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hillsbrad Militia,,,Hügelland Miliz,希尔斯布莱德民兵,Дружина Хилсбрада,Milicia de Trabalomas,Milícia de Eira dos Montes,8323198,,,,,,,,,4128876
72,19,588,434,1,0,0,0,0,0,3100,-42000,4000,0,17,2,17,0,469,Stormwind,,,Sturmwind,暴风城,Штормград,Ventormenta,Ventobravo,4128894,"One of the last bastions of human power, this Alliance capital is ruled by the child king, Anduin Wrynn.",,,Diese Hauptstadt der Allianz ist eine der letzten Bastionen menschlicher Macht und wird vom Kindkönig Anduin Wrynn regiert.,这座人类势力的最后堡垒之一目前由年幼的国王安度因·乌瑞恩统治着。,"Столица Альянса, один из последних оплотов могущества человеческой расы. Правит Штормградом молодой, но мудрый король Андуин Ринн.","Uno de los últimos bastiones del poder humano, esta capital de la Alianza está gobernada por el rey niño, Anduin Wrynn.","Um dos últimos bastiões do poder humano, esta capital da Aliança é governada pelo rei jovem, Anduin Wrynn.",4128894
73,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Demon,,,Dämon,恶魔,Демон,Demonio,Demônio,8323198,Demon,,,Dämon,恶魔,Демон,Demonio,Demônio,4128876
74,-1,1023,0,0,0,0,0,0,0,-42000,0,0,0,0,0,0,0,0,Elemental,,,Elementar,元素生物,Элементаль,Elemental,Elemental,8323198,,,,,,,,,4128876
